SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391500106225501	SC00908019CBAC1 SLGS-01 SUGARLOAF GULCH SEEP 1	2011-06-08 16:35:00	NA	WG 	01102712	0.48158988414	0.50034349	-1.90986540980186	Complete	0.007992	0.2822843	0.01001455	0.00061213614	0.0205919	0.12220065	0.005266898	0.050634	0.48233694	
391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2011-06-09 10:45:00	NA	WG 	01102713	3.48042958538	16.44230151	-65.0607181443402	Complete	0.001998	0.3905673	0.00905541	2.61260084138	0.00862046	0.31089162	0.119164864	0.0385845	16.4312481	Charge imbalance > 10%
391521106233801	SC00908124BAD SLGS-08	2011-06-09 11:40:00	NA	WG 	01102714	14.50415308983	28.52655196	-32.586960529538	Complete	0.001998	3.7313224	0.01839292	0.00435317103	0.10009454	1.70941017	8.8642733088	0.0946995	28.50616104	Charge imbalance > 10%
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2011-06-09 13:55:00	NA	WG 	01102715	4.19146213746	4.61011099	-4.75652302693322	Complete	0.26973	1.8291344	0.00832195	0.51316396066	0.02803568	1.03471446	0.5977976368	0.188616	4.33205904	
391511106232101	SC00908124ACA SLGS-02B	2011-06-10 09:45:00	NA	WG 	01102716	0.79657659248	0.94001884	-8.25996918091352	Complete	-0.053946	0.4344793	0.00722176	0.00266741528	0.02312432	0.14721681	0.1156172472	0.0734715	0.98674308	Charge imbalance > 5%
391603106235601	SC00908113BCDA1 TLSS-02 TURQUOISE LAKE SOUTH SEEP	2011-06-17 13:35:00	NA	WG 	01102717	1.77851009019	4.47025849	-43.0764616302714	Complete	0.001998	0.4129225	0.00459823	1.05745494019	0.0387537	0.16515603	0.04323592	0.060987	4.46366226	Charge imbalance > 10%
391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2011-06-07 11:00:00	NA	WS 	01102718	0.35229751796	0.33033197	3.21778480821899	Complete	0.193806	0.1643706	0.00623441	0.00240342396	0.01514336	0.08870862	0.000196014	0.0814755	0.13029156	
391445106230901	SBG-01 STRAWBERRY GULCH 01 NR LEADVILLE, CO	2011-06-07 13:50:00	NA	WS 	01102719	0.27441672487	0.2912617	-2.97783588509166	Complete	0.165834	0.1208079	0.0078988	0.00296460247	0.01289232	0.05974254	0.0001443624	0.077865	0.1175289	
391456106232901	SBG-03 STRAWBERRY GULCH 3	2011-06-07 16:10:00	NA	WS 	01102720	0.2310363549	0.24193927	-2.30517483904275	Complete	0.133866	0.1001493	0.00849121	0.0024540593	0.0107436	0.04147416	9.02356e-05	0.076125	0.09958206	
391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2011-06-08 09:50:00	NA	WS 	01102721	1.49742608956	1.75551307	-7.93396272664716	Complete	-0.035964	0.86826	0.00866047	0.00237620836	0.03297262	0.34364304	0.1431642212	0.10701	1.7828166	Charge imbalance > 5%
391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2011-06-08 12:20:00	NA	WS 	01102722	0.43632289431	0.57753137	-13.9278869420254	Complete	-0.031968	0.1690612	0.01571297	0.04339638431	0.01455502	0.09899487	0.02053142	0.089784	0.5937864	Charge imbalance > 10%
391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2011-06-08 15:20:00	NA	WS 	01102723	1.01243090124	1.54943099	-20.9613207720608	Complete	0.001998	0.5241995	0.00741923	0.01523228484	0.02624508	0.21164988	0.1603711564	0.074733	1.54001376	Charge imbalance > 10%
391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2011-06-09 09:55:00	NA	WG 	01102724	4.03775184547	4.57589009	-6.24751119864884	Complete	0.087912	0.7693083	0.00945035	1.08773043307	0.05694108	0.92403441	1.0938151224	0.1059225	4.47852774	Charge imbalance > 5%
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2011-06-09 14:35:00	NA	WS 	01102725	0.87834337907	1.33285148	-20.5548642203863	Complete	-0.08991	0.4578824	0.0073346	0.02386689947	0.02309874	0.17141007	0.1354867696	0.0665985	1.41542688	Charge imbalance > 10%
391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2011-06-17 15:00:00	NA	WS 	01102726	0.18552475459	0.17195229	3.79673738367357	Complete	0.077922	0.0950096	0.00567021	0.00050416899	0.01117846	0.03711279	9.02356e-05	0.0416295	0.08836008	
391600106235702	TLS-06 TURQUOISE LAKE SOUTH 6	2011-06-17 14:20:00	NA	WS 	01102727	0.27281130004	0.27166592	0.210363261830464	Complete	0.053946	0.1497998	0.00598052	0.00052010444	0.01299464	0.06073002	9.02356e-05	0.0486765	0.2117394	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2011-06-06 14:45:00	NA	WS 	01103332	0.26098548421	0.22197484	8.07740144572155	Complete	0.173826	0.159181	0.00299026	0.00427002021	0.0069066	0.05225415	0.000441714	0.037932	0.04515858	Charge imbalance > 5%
391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2011-06-07 09:30:00	NA	WS 	01103333	1.43049718115	1.66978094	-7.71813848627366	Complete	-0.007992	0.889717	0.00784238	0.00217348795	0.03844674	0.36602592	0.0170320332	0.117102	1.66993056	Charge imbalance > 5%
391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2011-06-07 12:45:00	NA	WG 	01103334	0.43385760083	0.43640253	-0.292433156460115	Complete	0.227772	0.2293404	0.00871689	0.00026295283	0.02312432	0.10837593	0.000543998	0.07221	0.19991364	
391521106231001	SC00908124AADC1 LSGS-07 LITTLE SUGARLOAF GL SEEP 7	2011-06-07 14:30:00	NA	WG 	01103335	1.26639518531	1.93973725	-21.0016921719859	Complete	0.021978	0.6503966	0.01052233	0.00018732211	0.0277543	0.26834769	0.2296207732	0.0900885	1.90723692	Charge imbalance > 10%
391524106232301	LSGS-07A, SEEP FOUND NEAR LSGS-07	2011-06-07 15:00:00	NA	WG 	01103336	2.29415576906	3.55202689	-21.5161104997402	Complete	-0.051948	1.3256434	0.00815269	0.00029743786	0.07159842	0.55743246	0.2480080512	0.091176	3.5958222	Charge imbalance > 10%
391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2011-06-08 11:30:00	NA	WG 	01103339	0.67975128294	0.69490119	-1.10208997242762	Complete	0.477522	0.3320346	0.01159431	0.00063075734	0.0172665	0.24777519	9.02356e-05	0.081954	0.20578488	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	2011-06-08 12:50:00	NA	WS 	01103340	0.77010788065	0.75508986	0.984660562347779	Complete	0.017982	0.4604772	0.0076167	0.00478725985	0.02859844	0.19041906	0.0082654208	0.0775605	0.72949116	
391606106241101	TLSS-07, SPRING NEAR TURQ. LAKE BLW ADIT AND WASTE	2011-06-09 13:35:00	NA	WG 	01103342	1.74333058438	16.03188822	-80.3847074563107	Complete	0.001998	0.0787422	0.008463	1.60643223118	0.00163712	0.04155645	0.0015210832	0.0134415	16.02142722	Charge imbalance > 10%
391512106232401	SLGS-01A, SEEP ADJACENT TO SUGARLOAF GULCH	2011-06-10 09:40:00	NA	WG 	01103343	2.75269961027	4.48251507	-23.9082810417098	Complete	0.001998	1.1949553	0.00854763	0.00136962507	0.04468826	0.45868446	0.9481669652	0.104835	4.47196944	Charge imbalance > 10%
391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2011-06-10 11:00:00	NA	WG 	01103344	1.50978528378	3.55506934	-40.3818906591551	Complete	0.001998	0.4372238	0.00823732	0.31840167858	0.0167549	0.17099862	0.4838867852	0.0825195	3.54483402	Charge imbalance > 10%
391606106241601	SC00908113ADB TL-ADIT	2011-06-09 11:15:00	NA	WG 	01103345	1.27585352599	2.79577922	-37.329636262183	Complete	0.001998	0.1859773	0.00614978	0.89435113319	0.02642414	0.08706282	0.0085231328	0.073515	2.78763144	Charge imbalance > 10%
